season	age	league	Tm	G	W	L	season_WinP	career_WinP	fuzzy_name	tenure	rookie	prev_season	W_prev	season_WinP_prev	winP_change	race	compound_mean_mean	compound_mean_std	user_count
2017		NBA	DEN	82	46.0	36.0	0.561	0.458	mike malone	3.0	False	2016	40.0	0.4878048780487805	0.07319512195121958	W	0.11528516194675315	0.4288548618840115	534
2014	57.0	NBA	HOU	82	56.0	26.0	0.6829999999999999	0.556	kevin mchale	4.0	False	2013	54.0	0.6585365853658537	0.024463414634146252	W	0.0839095424815659	0.41400598881488443	417
2015	58.0	NBA	HOU	11	4.0	7.0	0.364	0.556	kevin mchale	5.0	False	2014	56.0	0.6829268292682927	-0.31892682926829274	W	0.05816941062801935	0.46683893962283907	230
2016	52.0	NBA	IND	82	42.0	40.0	0.512	0.52	nate mcmillan	1.0	True	2015	45.0	0.5487804878048781	-0.03678048780487808	B	-0.006413272727272726	0.46069959611429306	55
2017	53.0	NBA	IND	82	48.0	34.0	0.585	0.52	nate mcmillan	2.0	False	2016	42.0	0.5121951219512195	0.07280487804878044	B	0.19419910714285712	0.3933086939948259	56
2015	52.0	NBA	MIN	82	29.0	53.0	0.354	0.433	sam mitchell	1.0	True	2014	16.0	0.1951219512195122	0.15887804878048778	B	-0.07269662705403164	0.42635638222057387	131
2014	66.0	NBA	SAS	82	55.0	27.0	0.6709999999999999	0.6890000000000001	gregg popovich	19.0	False	2013	62.0	0.7560975609756098	-0.08509756097560983	W	0.1422792840375588	0.43552138032182885	142
2015	67.0	NBA	SAS	82	67.0	15.0	0.8170000000000001	0.6890000000000001	gregg popovich	20.0	False	2014	55.0	0.6707317073170732	0.14626829268292685	W	0.11685316287878789	0.43928734044869866	160
2016	68.0	NBA	SAS	82	61.0	21.0	0.7440000000000001	0.6890000000000001	gregg popovich	21.0	False	2015	67.0	0.8170731707317073	-0.07307317073170716	W	0.17357082914572858	0.4340149097248439	199
2017	69.0	NBA	SAS	82	47.0	35.0	0.573	0.6890000000000001	gregg popovich	22.0	False	2016	61.0	0.7439024390243902	-0.17090243902439028	W	0.12575577481840192	0.43275116832267424	236
2017	48.0	NBA	MIL	37	21.0	16.0	0.568	0.568	joe prunty	1.0	True	2016	42.0	0.5121951219512195	0.055804878048780426	W	0.06365858585858587	0.47860181711309074	66
2015	57.0	NBA	NYK	28	9.0	19.0	0.321	0.284	kurt rambis	1.0	True	2014	17.0	0.2073170731707317	0.11368292682926831	W	0.10539235714285713	0.41780830416444464	170
2014	53.0	NBA	LAC	82	56.0	26.0	0.6829999999999999	0.575	doc rivers	2.0	False	2013	57.0	0.6951219512195121	-0.012121951219512206	B	0.06660407796772255	0.4340076940306888	732
2015	54.0	NBA	LAC	82	53.0	29.0	0.6459999999999999	0.575	doc rivers	3.0	False	2014	56.0	0.6829268292682927	-0.03692682926829283	B	0.07763232509446696	0.423603365982985	653
2016	55.0	NBA	LAC	82	51.0	31.0	0.622	0.575	doc rivers	4.0	False	2015	53.0	0.6463414634146342	-0.024341463414634168	B	0.037735871856468824	0.44102055161926657	604
